drugName,condition,review,rating,predicted_rating,generated_summary,identified_sentiment
Topiramate,Migraine Prevention,"I was prescribed this medication for my headaches from a possible concussion, or pinched nerve in my head. In just 4 days I lost 6 pounds or so, and have had all the symptoms: memory loss, confusion even to every day things (like why am I picking this coffee cup, or how do I cook this again?) blurred vision, and the crazy menopausal-emotional-roller coaster #understatement. Except drowsiness, and to some others here, severe depression. My possible concussion (whatever may be) keeps me wide awake, and what I like to call ""wired"" I was hoping for the drowsy effect, but it what it is. If you are paranoid, relax, its the drug, or just call your doctor for clarification. It seems, less active you are, the less side effects occur, at least for me",10,3,Weight loss with severe cognitive and emotional side effects.,negative
Abilify,Depression,I had been on at least 5 different SSRIs with no good effect. Abilify with Lamictal made a huge difference.,9,8,Effective treatment after failure of multiple SSRIs.,positive
Norethindrone,Abnormal Uterine Bleeding,"I have been on this drug for 2 years for abnormal bleeding. I had the oblation procedure in June of 08 and started bleeding again. My doctor prescribed Norethindrone again but it has not worked. I give it a 3 because when I started taking the medication two years ago, it worked.",3,5,Partial efficacy with treatment failure after 2 years.,negative
Buspirone,Anxiety,Only been on it for about a month but so far it's really helped. Had me on Paxil as well at first and I hated how I felt on that - lots of headaches and sweating. Doing much better on the Buspar alone.,8,8,Effective anxiety relief with minimal side effects.,positive
Amoxicillin / clavulanate,Strep Throat,"I was prescribed amox/clav 875 for strep throat. After being on the medicine for 24hours my sore throat was completely gone. I felt so much better immediately, but of course finishing the course with strep is very important, so I continued. The first few days extreme fatigue, to the point of sleeping hours! Day 5 or so, I had night terrors for two nights in a row. The last couple days on it have been ok, still very fatigue and happy I'm done with the medicine. Point is, it is great for strep treatment in my experience but the side effects can be harsh!!",9,8,Effective strep treatment with severe fatigue and night terrors.,positive
Citalopram,Anxiety and Stress,"I'm 20, and my anxiety is at an all time high. Racing thoughts, constant worry, can't drive on the highway, or drive at night because I'll have a panic attack. So I just had to go to the doctors to get back on citalopram. I was desperate, so they started me off on 20mg. I'm on my 2nd day of taking the drug, and it's terrible. I threw up this morning after a very restless and nauseated night of sleep. I read the side effects, and that was considered ""medical help"" kind of thing. So I called doctors office and they told me to cut it in half and let them know on Monday. Day 2: took half a pill and just don't feel myself. Restless, nauseous, dry mouth, etc. I plan to keep going with this. Hopefully it outweighs the terrible anxiety. Advice?",5,2,Severe side effects with minimal relief from anxiety.,negative
Ethinyl estradiol / levonorgestrel,Birth Control,I first started taking Aviane in 2005 when Alesse was no longer offered. I loved it then and I love it now. I have no complaints about it. I recently started taking it again two months ago and it works the same. Little side effects. What I love best is I have not gained any weight as I have before on other pills. So before you listen to anyone else do your research and try it out for yourself. Hope this helps someone.,10,10,Effective birth control with no side effects or weight gain.,positive
Acanya,Acne,I've always been hesitant to use acne medication in the morning because I felt like it would do nothing for me. Also I have to wear makeup before I leave the house so the only thing I usually have underneath my foundation is a moisturizer. I've added Acanya to my regime for the past week or so and my face has improved almost instantly. My pores look smaller and I haven't gotten any new bumps and the ones I already have are going away. I say stick to this product even if you don't see improvements at first! Hopefully I'll see more improvements,9,8,Effective acne treatment with visible results within a week.,positive
Metronidazole,Bacterial Vaginitis,My body was not taking in this drug. I've threw up multiple times and is making me so so so nauseas . So nauseas that I cant even get up from bed. It makes me feel so miserable !!!,8,1,Severe nausea and vomiting causing complete treatment failure.,negative
Rosuvastatin,High Cholesterol,"After having unwanted side affects with two other statins, my PCP suggested trying Crestor. This was about 6 years ago. Since then, as he states it, I could be the poster boy for Crestor. At only a 5mg/day dosage my cholesterol level has dropped from ~290 to consistently below 200 with no side affects. My only concern is there is no generic alternative and it is VERY expensive when the insurance companies declare that it's not in their formulary of preventive medications. I've been lucky that my PCP has been able to convince the ins co that I can't tolerate an alternative, so have not had to pay for the medication for the past several years (treated as preventative). That's changing now that I'm retired and have to go to new insurance",10,10,"Effective cholesterol control with no side effects, but high cost",positive
Phentermine,Weight Loss,"I have been using phentermine since May 19 2009, weighing 265lbs and on June 28, 2009 I weighed 246lbs and counting. I am doing this with little to no exercise. I hope to lose a total of 100lbs.",10,8,Effective weight loss without increased exercise.,positive
Ibuprofen,Pain,I have used this drug for 20 yrs. Cannot take other Nsaids because they cause stomach pain. But for some reason ibuprofen I can take with no problem at all. And it works on all my joint pain.,10,8,Effective for joint pain with no stomach issues.,positive
Adapalene,Acne,"Pros: My breakouts are almost completely gone. The breakouts I do get are usually because it's ""that time of the month"". Pimples usually disappear after 1-3 days and are much smaller. No more painful cystic acne. Cons: The first month sucks. Dry scaly skin (especially around the eyes). Skin was red and blotchy and makeup just made it hurt worse. You just have to keep pushing through and accept your face will be ugly for 1-3 months. Night routine: Wash face with plain water (cleansers just made my skin irritation worse) and a clean wash cloth. Apply a pea size amount to whole face (spread thin over everywhere but my cheeks since I didn't have acne there and they were just getting dried out). Make sure to moisturize & never skip a night.",8,8,Effective acne treatment with minor skin irritation.,positive
